id,created_time,creator_id,modified_time,modifier_id,is_deleted,user_name,ipaddr,login_location,browser,os,status,msg,login_time
88,2023-12-13 21:58:49.000000,0,2023-12-13 21:58:49.000000,0,0,admin,127.0.0.1,,Chrome 120.0.0,Windows 10,0,登录成功,2023-12-13 21:58:49.000000
87,2023-12-13 00:51:25.000000,0,2023-12-13 00:51:25.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-13 00:51:25.000000
86,2023-12-13 00:21:12.000000,0,2023-12-13 00:21:12.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-13 00:21:12.000000
85,2023-12-12 23:50:22.000000,0,2023-12-12 23:50:22.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-12 23:50:22.000000
84,2023-12-12 23:50:21.000000,0,2023-12-12 23:50:21.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-12 23:50:21.000000
83,2023-12-12 23:19:26.000000,0,2023-12-12 23:19:26.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-12 23:19:26.000000
82,2023-12-12 22:49:02.000000,0,2023-12-12 22:49:02.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-12 22:49:02.000000
81,2023-12-11 22:58:38.000000,0,2023-12-11 22:58:38.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-11 22:58:38.000000
80,2023-12-11 22:27:14.000000,0,2023-12-11 22:27:14.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-11 22:27:14.000000
79,2023-12-11 21:51:01.000000,0,2023-12-11 21:51:01.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-11 21:51:01.000000
73,2023-12-10 22:40:50.000000,0,2023-12-10 22:40:50.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-10 22:40:50.000000
74,2023-12-10 23:11:02.000000,0,2023-12-10 23:11:02.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-10 23:11:02.000000
75,2023-12-11 20:16:51.000000,0,2023-12-11 20:16:51.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-11 20:16:51.000000
76,2023-12-11 20:34:36.000000,0,2023-12-11 20:34:36.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-11 20:34:36.000000
77,2023-12-11 20:36:15.000000,0,2023-12-11 20:36:15.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-11 20:36:15.000000
78,2023-12-11 21:15:50.000000,0,2023-12-11 21:15:50.000000,0,0,admin,127.0.0.1,,Chrome 119.0.0,Windows 10,0,登录成功,2023-12-11 21:15:50.000000
89,2023-12-14 22:54:21.000000,0,2023-12-14 22:54:21.000000,0,0,admin,127.0.0.1,,Chrome 120.0.0,Windows 10,0,登录成功,2023-12-14 22:54:21.000000
90,2023-12-16 10:43:12.000000,0,2023-12-16 10:43:12.000000,0,0,admin,127.0.0.1,,Chrome 120.0.0,Windows 10,0,登录成功,2023-12-16 10:43:12.000000
